"GeneA","GeneB"
"DCPS","CHST4"
"DCPS","MSN"
"DCPS","GINS4"
"DCPS","GINS3"
"DCPS","CAMK1D"
"DCPS","NTRK1"
"NRXN2","MACF1"
"NRXN2","CASK"
"ST3GAL4","ARHGDIA"
"CPT1A","E2F3"
"CPT1A","KBTBD7"
"CPT1A","TUBG1"
"CPT1A","BCL2"
"CPT1A","CLIC1"
"CCND1","CDKN1B"
"CCND1","MCM3"
"CCND1","CCND3"
"CCND1","KAT2B"
"CCND1","WDR77"
"CCND1","HDAC1"
"CCND1","CDKN2C"
"CCND1","CDK2"
"CCND1","NCOA3"
"CCND1","POLR1B"
"CCND1","PIN1"
"CCND1","CDKN2D"
"CCND1","PCNA"
"CCND1","CDK8"
"CCND1","CAMK1"
"CCND1","CDK4"
"CCND1","MDM2"
"CCND1","TRMO"
"CCND1","HERC5"
"CCND1","RB1"
"CCND1","CDH13"
"CCND1","BCAS3"
"CCND1","ERBB2"
"CCND1","IGFBP3"
"CCND1","UHRF2"
"CCND1","CDKN2A"
"CCND1","HIST1H4H"
"CCND1","RUNX1"
"CCND1","CDK5"
"CCND1","IFI27"
"CCND1","CCNDBP1"
"CCND1","CTNNB1"
"CCND1","STAT3"
"CCND1","KLK7"
"CCND1","BTD"
"CCND1","CDK1"
"CCND1","SMAD1"
"CCND1","INSM1"
"CCND1","LPL"
"CCND1","TDRD7"
"CCND1","TUBB"
"CCND1","HIST1H4C"
"CCND1","SRC"
"CCND1","CARD11"
"CCND1","RGL2"
"CCDC86","OBSL1"
"CCDC86","HNRNPU"
"CCDC86","NLRP3"
"CCDC86","MNDA"
"CCDC86","FOXQ1"
"CCDC86","NPM1"
"CCDC86","SIRT7"
"CCDC86","H2AFX"
"CCDC86","HIST1H3D"
"PRPF19","USP4"
"PRPF19","FN1"
"PRPF19","BCAS2"
"PRPF19","PRPF3"
"PRPF19","RPA2"
"PRPF19","PTBP3"
"PRPF19","TARDBP"
"PRPF19","OBSL1"
"PRPF19","KNSTRN"
"PRPF19","EGLN3"
"PRPF19","SNRPA1"
"PRPF19","LIN28A"
"PRPF19","LGALS3"
"PRPF19","CTNNBL1"
"PRPF19","GABARAPL1"
"PRPF19","PRCC"
"PRPF19","TP53BP2"
"PRPF19","LYAR"
"PRPF19","SNCA"
"PRPF19","MEPCE"
"PRPF19","PRPS1"
"PRPF19","TRIM55"
"PRPF19","SMARCAD1"
"PRPF19","CEP57"
"PRPF19","NDEL1"
"PRPF19","SNRPD1"
"PRPF19","CDC40"
"PRPF19","JUN"
"PRPF19","SUZ12"
"PRPF19","GCC1"
"PRPF19","EXOC3"
"PRPF19","EXOC7"
"PRPF19","NTRK1"
"PRPF19","ZNF830"
"PRPF19","ZDBF2"
"TMEM109","GOLT1B"
"TMEM109","TCTN3"
"TMEM109","CCRL2"
"TMEM109","TRAF6"
"TMEM109","JUN"
"TMEM109","ATL3"
"TMEM109","TMEM216"
"CHORDC1","SUB1"
"CHORDC1","SSR3"
"CHORDC1","TUBA1B"
"CHORDC1","NAGK"
"CHORDC1","SEPT11"
"CHORDC1","PGD"
"CHORDC1","PRCC"
"CHORDC1","TARS2"
"CHORDC1","ARID5B"
"CHORDC1","DDR2"
"CHORDC1","CAPN2"
"CHORDC1","CDK5"
"CHORDC1","STX3"
"CHORDC1","CEP120"
"CHORDC1","REPS2"
"CHORDC1","NAP1L1"
"CHORDC1","TCEA1"
"CHORDC1","GTF2E2"
"CHORDC1","TTC37"
"CHORDC1","SARNP"
"FOLR1","APP"
"FOLR1","IMPDH2"
"FOLR1","LYN"
"ANAPC15","GNPTAB"
"ANAPC15","FBXO5"
"ANAPC15","CDC20"
"ANAPC15","PRDX1"
"ANAPC15","NEK2"
"ANAPC15","CDC16"
"ANAPC15","USP6NL"
"ANAPC15","PPP1R9A"
"ANAPC15","ANAPC10"
"ANAPC15","ANAPC16"
"ANAPC15","PRDX2"
"ANAPC15","RRM2"
"ANAPC15","CEP19"
"PANX1","HPCAL1"
"PANX1","BAG3"
"PANX1","C4orf3"
"PANX1","CASP3"
"PANX1","CASP7"
"PANX1","TMEM17"
"ARHGEF17","PTBP3"
"ARHGEF17","RERG"
"ARHGEF17","IQGAP1"
"ARHGEF17","SFN"
"APOC3","POLR3G"
"APOC3","FN1"
"APOC3","RLF"
"APOC3","APOA1"
"APOC3","TTR"
"APOC3","CLU"
"APOC3","OBSL1"
"APOC3","TTPAL"
"APOC3","NCOA3"
"APOC3","SOX4"
"APOC3","APOE"
"APOC3","APOC1"
"APOC3","SH3BP5"
"APOC3","AMPD3"
"APOC3","CABLES1"
"APOC3","CTSL"
"APOC3","TNS3"
"APOC3","RABEPK"
"APOC3","DERL1"
"APOC3","CLCA2"
"APOC3","AHSG"
"APOC3","GSN"
"APOC3","SERPING1"
"APOC3","ATM"
"APOC3","QDPR"
"APOC3","SACS"
"APOC3","RANBP2"
"APOC3","KCNMA1"
"APOC3","TIAM1"
"APOC3","PCDH1"
"APOC3","APOA2"
"APOC3","ALB"
"APOC3","PPBP"
"APOC3","CDCP1"
"APOC3","ITGA2"
"APOC3","SERTAD3"
"APOC3","KRT1"
"APOC3","ZNF232"
"APOC3","KRT13"
"APOC3","FGA"
"APOC3","TLN2"
"APOC3","ADGRG2"
"APOC3","KIAA1551"
"APOC3","SFN"
"APOC3","ZBTB33"
"APOC3","PCED1B"
"APOC3","F2"
"APOC3","PDE4B"
"APOC3","KRT6B"
"APOC3","KRT5"
"APOC3","KRT10"
"APOC3","KRT14"
"APOC3","ZNF292"
"APOC3","CFD"
"APOC3","MYL4"
"APOC3","KRT6A"
"RNF141","TRIM24"
"RNF141","UBA1"
"RNF141","MYC"
"RNF141","TRIM8"
"RNF141","PLK3"
"RNF141","UBE2N"
"CEP126","RGS2"
"CEP126","PIK3R3"
"CEP126","RPA2"
"CEP126","TTR"
"CEP126","KBTBD7"
"CEP126","LRIF1"
"CEP126","EIF2S2"
"CEP126","SAT1"
"CEP126","GADD45G"
"CEP126","LRRC1"
"CEP126","BARD1"
"CEP126","ITGB3BP"
"CEP126","CDKN2B"
"CEP126","GSTO1"
"CEP126","FEZ1"
"CEP126","TNFRSF14"
"CEP126","GPRASP2"
"CEP126","DUSP23"
"CEP126","SH2B2"
"CEP126","KIF15"
"CEP126","PBK"
"CEP126","BMI1"
"CEP126","CRCT1"
"CEP126","ZNF24"
"CEP126","GOLGB1"
"CEP126","TOMM20"
"CEP126","LPL"
"CEP126","RUVBL1"
"CEP126","DLEU1"
"CEP126","NAP1L5"
"CEP126","FAM118B"
"CEP126","ZBED8"
"GALNT18","SLAMF1"
"GALNT18","OS9"
"BIRC2","LTBR"
"BIRC2","RFC5"
"BIRC2","HTRA2"
"BIRC2","TNFAIP3"
"BIRC2","UBR4"
"BIRC2","TICAM1"
"BIRC2","GNAZ"
"BIRC2","EGLN3"
"BIRC2","UBA1"
"BIRC2","TRAF3"
"BIRC2","XAF1"
"BIRC2","LPIN3"
"BIRC2","CASP9"
"BIRC2","DHX9"
"BIRC2","DCAF7"
"BIRC2","TANK"
"BIRC2","BLK"
"BIRC2","IER3"
"BIRC2","CD27"
"BIRC2","UBE2Q2"
"BIRC2","CBLC"
"BIRC2","TUFT1"
"BIRC2","EAF2"
"BIRC2","EGFR"
"BIRC2","SH3KBP1"
"BIRC2","UBE2L6"
"BIRC2","WDYHV1"
"BIRC2","IGF2BP1"
"BIRC2","C1R"
"BIRC2","CCNYL1"
"BIRC2","PPM1K"
"BIRC2","CASP3"
"BIRC2","TLR3"
"BIRC2","CASP7"
"BIRC2","ENDOG"
"BIRC2","FADD"
"BIRC2","GAP43"
"BIRC2","TOMM20"
"BIRC2","JUP"
"BIRC2","TRAF6"
"BIRC2","TMEM9B"
"BIRC2","CSTF2T"
"BIRC2","UBE2N"
"BIRC2","BOLA1"
"BIRC2","SHARPIN"
"BIRC2","GCC1"
"BIRC2","GAS1"
"BIRC2","RIPK4"
"BIRC2","MAGEA11"
"BIRC2","NMB"
"BIRC2","UBE2J1"
"BIRC2","DCAF12"
"BIRC2","DZIP3"
"BIRC2","LTA"
"BIRC2","TNF"
"BIRC2","PGAM5"
"DDX6","BCL6"
"DDX6","CEP70"
"DDX6","FN1"
"DDX6","SIPA1L2"
"DDX6","SGK1"
"DDX6","AGO2"
"DDX6","ZFP36"
"DDX6","KRT34"
"DDX6","SRPK2"
"DDX6","PRPH"
"DDX6","CALCOCO2"
"DDX6","TCF12"
"DDX6","DCP1B"
"DDX6","JAKMIP1"
"DDX6","PPP2R2B"
"DDX6","CBR1"
"DDX6","VCAM1"
"DDX6","REL"
"DDX6","MNDA"
"DDX6","NAB2"
"DDX6","GOLGA2"
"DDX6","CRK"
"DDX6","ZBTB43"
"DDX6","USP47"
"DDX6","ZNF24"
"DDX6","JUP"
"DDX6","CCDC14"
"DDX6","SHMT1"
"DDX6","JUN"
"DDX6","GRB2"
"DDX6","MAGED1"
"DDX6","MEX3D"
"DDX6","BEGAIN"
"DDX6","IKZF1"
"DDX6","PNRC2"
"DDX6","TCF4"
"DDX6","BHLHB9"
"DDX6","KRT40"
"KIAA1549L","PPFIA1"
"KIAA1549L","GRB2"
"PDHX","STAT5A"
"PDHX","LGALS3"
"PDHX","DLAT"
"PDHX","PDK1"
"PDHX","STAT5B"
"PDHX","JUN"
"PDHX","AGTRAP"
"PDHX","MARC1"
"SLC15A3","MDFI"
"SLC15A3","CALCOCO2"
"SLC15A3","SLC15A4"
"MDK","EPB41L5"
"MDK","STAT1"
"MDK","SDC1"
"MDK","NID1"
"MDK","TSPAN1"
"MDK","KBTBD7"
"MDK","SDC4"
"MDK","SRPK2"
"MDK","TUBB2B"
"MDK","SORL1"
"MDK","JAK1"
"MDK","TUBA1A"
"MDK","ALK"
"MDK","MLLT3"
"MDK","CHD9"
"MDK","RPP25"
"CARS","MYC"
"CARS","TNF"
"SLC22A18","RB1"
"CD81","ITGA4"
"CD81","SPTBN1"
"CD81","RPL22"
"CD81","SFPQ"
"CD81","CR2"
"CD81","CD46"
"CD81","CSTA"
"CD81","TUBA1B"
"CD81","HIST1H1D"
"CD81","HIST1H2BJ"
"CD81","TUBA4A"
"CD81","RPS4Y1"
"CD81","BST2"
"CD81","LRRC47"
"CD81","H3F3B"
"CD81","RNF128"
"CD81","PTGFRN"
"CD81","SYNCRIP"
"CD81","CD63"
"CD81","TUBB2A"
"CD81","TUBB2B"
"CD81","WARS"
"CD81","CD53"
"CD81","S100A7"
"CD81","PARP1"
"CD81","LBR"
"CD81","MSN"
"CD81","ITGB1"
"CD81","DLG5"
"CD81","HNRNPU"
"CD81","PDIA4"
"CD81","EEF1A1"
"CD81","MS4A1"
"CD81","KIT"
"CD81","SHC1"
"CD81","RPS14"
"CD81","CFL2"
"CD81","RPL27A"
"CD81","SNRPD1"
"CD81","RPL13"
"CD81","TUBA1A"
"CD81","TUBA1C"
"CD81","COA6"
"CD81","ADRB2"
"CD81","SERPINB9"
"CD81","CFL1"
"CD81","TRAF6"
"CD81","TUBB6"
"CD81","CD19"
"CD81","CALML5"
"CD81","ALYREF"
"CD81","HIST1H1C"
"CD81","TUBB4B"
"CD81","TUBB"
"CD81","MME"
"CD81","HIST1H3D"
"CD81","S100A10"
"CD81","HIST1H2BK"
"CD81","TUBA3C"
"CD81","HLA-A"
"CD81","TREX1"
"CD81","TSPAN4"
"CD81","SLC26A6"
"CD81","RPS18"
"CD81","HIST1H2BN"
"CD81","RPS28"
"CD81","HLA-B"
"CD81","PI4KA"
"CD81","PRKDC"
"SLC35F2","C3AR1"
"SLC35F2","TMEM17"
"SLC35F2","LPAR1"
"CALCA","RAMP1"
"CALCA","BBS4"
"SOX6","HDAC1"
"SOX6","CENPK"
"SOX6","TAF4"
"SOX6","CTNNB1"
"SOX6","CTBP2"
"SOX6","SUMO3"
"PITPNM1","PTK2B"
"PITPNM1","TFCP2"
"PITPNM1","CDK1"
"AIP","EIF2S3"
"AIP","NPHP4"
"AIP","EGFR"
"AIP","GNAQ"
"AIP","DUSP2"
"AIP","SIM2"
"AIP","NEK8"
"AIP","NADSYN1"
"AIP","YES1"
"AIP","IRF7"
"AIP","LAMP1"
"AIP","PTPN1"
"TCIRG1","GOLT1B"
"TCIRG1","ATP6V1B1"
"TCIRG1","SORT1"
"TCIRG1","SYNCRIP"
"TCIRG1","KCNK1"
"TCIRG1","POGZ"
"TCIRG1","TERF1"
"TCIRG1","ATP6V0D2"
"TCIRG1","ATP6V0D1"
"TCIRG1","ATP6AP2"
"TCIRG1","RPS18"
"CHKA","RCC1"
"EXPH5","SMAD9"
"EXPH5","MYC"
"EXPH5","SKAP1"
"EXPH5","HSPB8"
"HPS5","DEF8"
"HPS5","SMC6"
"HPS5","HPS3"
"HPS5","HPS6"
"HPS5","BUB1"
"HPS5","CD14"
"HPS5","BLM"
"HPS5","FGFR1OP"
"POU2AF1","RBM24"
"POU2AF1","SUB1"
"POU2AF1","MSX2"
"POU2AF1","PAX8"
"POU2AF1","ITGB4"
"POU2AF1","MEIS2"
"POU2AF1","NAB1"
"POU2AF1","VAV1"
"POU2AF1","POGZ"
"POU2AF1","PITX2"
"POU2AF1","SYK"
"POU2AF1","ROR2"
"POU2AF1","ZNF581"
"POU2AF1","SMAD2"
"POU2AF1","NDUFAF3"
"POU2AF1","GATA2"
"POU2AF1","SIAH2"
"POU2AF1","HOXC4"
"POU2AF1","VGLL3"
"P3H3","IDE"
"P3H3","SCGB1D2"
"P3H3","OS9"
"P3H3","NEB"
"PPFIBP1","PPFIA1"
"PPFIBP1","DCAF7"
"PPFIBP1","KIF21A"
"PPFIBP1","PTPRM"
"PPFIBP1","SFN"
"PPFIBP1","TMEM17"
"PPFIBP1","S100A4"
"PPFIBP1","PBX2"
"CLEC2B","APP"
"CLEC2B","KAT6B"
"SELPLG","TPST2"
"SELPLG","PIK3R1"
"SELPLG","TNIP1"
"SELPLG","MSN"
"SELPLG","TPST1"
"SELPLG","BACE1"
"SELPLG","SELL"
"SELPLG","MAGEA1"
"CORO1C","DBN1"
"CORO1C","FN1"
"CORO1C","CDK2"
"CORO1C","DLGAP5"
"CORO1C","MYC"
"CORO1C","IQGAP1"
"CORO1C","MAP1LC3B"
"CORO1C","PTPRO"
"CORO1C","VCAM1"
"CORO1C","HACD1"
"CORO1C","PTPN2"
"CORO1C","JUN"
"CORO1C","GRB2"
"CORO1C","FLNA"
"CORO1C","MYO1C"
"CAPRIN2","FAM8A1"
"CAPRIN2","LRP5"
"MLEC","GOLT1B"
"MLEC","TSNAX"
"MLEC","TCTN3"
"MLEC","STT3B"
"MLEC","TRAF6"
"MLEC","TCTN1"
"BIN2","BIN1"
"BIN2","TERF1"
"BCL7A","CAP2"
"BCL7A","PHACTR2"
"BCL7A","CAP1"
"BCL7A","SPIRE1"
"BCL7A","GSN"
"BCL7A","PBRM1"
"BCL7A","SMARCC1"
"BCL7A","CD151"
"BCL7A","ARID2"
"BCL7A","SPIRE2"
"BCL7A","KLHL23"
"LIN7A","MDFI"
"LIN7A","AMOT"
"LIN7A","APP"
"LIN7A","SLC20A1"
"LIN7A","CASK"
"LIN7A","MPP7"
"LIN7A","DLG2"
"LIN7A","CDA"
"LIN7A","ZYX"
"LIN7A","MPP3"
"LIN7A","ABCA1"
"LIN7A","GOLGA2"
"LIN7A","SNTB2"
"LIN7A","PXDC1"
"LIN7A","FAM9B"
"LIN7A","CADM1"
"LIN7A","KCNJ12"
"TNS2","SH2B3"
"TNS2","REEP6"
"TNS2","ID2"
"TNS2","OBSL1"
"TNS2","ENKD1"
"TNS2","MT2A"
"TNS2","NT5C"
"TNS2","PIN1"
"TNS2","TWSG1"
"TNS2","EPB41L4A"
"TNS2","KIF1A"
"TNS2","C19orf66"
"TNS2","DZIP1"
"TNS2","SPRY2"
"TNS2","MYC"
"TNS2","ITGB7"
"TNS2","ZCCHC14"
"TNS2","ERBB2"
"TNS2","TM4SF19"
"TNS2","DDIT4L"
"TNS2","DOK3"
"TNS2","RBAK"
"TNS2","ITGB1"
"TNS2","FOXO1"
"TNS2","UTRN"
"TNS2","RBPMS"
"TNS2","KIT"
"TNS2","REL"
"TNS2","WDFY3"
"TNS2","FABP7"
"TNS2","GFI1B"
"TNS2","AXL"
"TNS2","CNNM3"
"TNS2","SNTB2"
"TNS2","TRIM8"
"TNS2","SNTB1"
"TNS2","KLHL15"
"TNS2","CATSPER1"
"TNS2","EPS8L2"
"TNS2","AP1S2"
"TNS2","SPRY4"
"TNS2","ZNF655"
"TNS2","FAM114A1"
"TNS2","DZIP3"
"TNS2","CSNK1E"
"TNS2","AQP1"
"TNS2","TCP10L"
"TNS2","PGAM5"
"TNS2","GBA3"
"LTA4H","SPR"
"LTA4H","TRAP1"
"LTA4H","MYC"
"LTA4H","IDH1"
"LTA4H","ZNF593"
"LTA4H","NAPRT"
"LTA4H","GALK2"
"LTA4H","TAGLN2"
"LTA4H","FKBP2"
"LTA4H","SIRT7"
"LTA4H","NTRK1"
"LTA4H","HLA-C"
"LTA4H","HLA-B"
"ELK3","ID2"
"ELK3","APP"
"ELK3","PIK3R1"
"ELK3","GRB2"
"WNT5B","WNT5A"
"WNT5B","WIF1"
"WNT5B","ROR2"
"WNT5B","FZD8"
"MAGOHB","AMOTL2"
"MAGOHB","CDK2"
"MAGOHB","MPP1"
"MAGOHB","PRPH"
"MAGOHB","STX11"
"MAGOHB","CALCOCO2"
"MAGOHB","RBAK"
"MAGOHB","RBMX"
"MAGOHB","HSF2BP"
"MAGOHB","IKZF3"
"MAGOHB","REL"
"MAGOHB","TERF2IP"
"MAGOHB","GOLGA2"
"MAGOHB","PYM1"
"MAGOHB","THAP7"
"MAGOHB","IKZF1"
"MAGOHB","TCF4"
"MAGOHB","KRT40"
"FOXM1","ECT2"
"FOXM1","FOXO3"
"FOXM1","KIF18A"
"FOXM1","CDK2"
"FOXM1","PARD6B"
"FOXM1","TOP2A"
"FOXM1","CCNA1"
"FOXM1","LARS"
"FOXM1","CDK4"
"FOXM1","RNASEH2B"
"FOXM1","SMC2"
"FOXM1","MYC"
"FOXM1","HERC5"
"FOXM1","LEF1"
"FOXM1","RBMX"
"FOXM1","TERF1"
"FOXM1","SMARCA5"
"FOXM1","LRWD1"
"FOXM1","CTNNB1"
"FOXM1","STAT3"
"FOXM1","AXIN2"
"FOXM1","CDK1"
"FOXM1","QARS"
"FOXM1","ZBTB33"
"FOXM1","F2"
"FOXM1","PRC1"
"RAD51AP1","UBA1"
"RAD51AP1","MYC"
"RAD51AP1","APP"
"RAD51AP1","USP12"
"RAD51AP1","USP1"
"RAD51AP1","JUP"
"RAD51AP1","UBE2N"
"RAD51AP1","AP1G2"
"RAD51AP1","N4BP2L2"
"SH2B3","PLCG1"
"SH2B3","ERBB2"
"SH2B3","POGZ"
"SH2B3","EGFR"
"SH2B3","KIT"
"SH2B3","GRB2"
"SH2B3","LCK"
"SH2B3","FLNA"
"SH2B3","CD247"
"MANSC1","SNX3"
"MANSC1","RNF130"
"MANSC1","ACVR2B"
"MANSC1","PIK3CA"
"MANSC1","DNAJB9"
"MANSC1","APOE"
"MANSC1","NDFIP1"
"MANSC1","WDR44"
"MANSC1","STARD3"
"MANSC1","KIDINS220"
"MANSC1","SDCBP"
"MANSC1","TSPAN3"
"MANSC1","TOM1L1"
"MANSC1","JAK1"
"MANSC1","VANGL2"
"MANSC1","RNF149"
"MANSC1","ABCA3"
"MANSC1","USP32"
"MANSC1","VANGL1"
"MANSC1","TP53I11"
"MANSC1","CMTM4"
"MANSC1","LRP10"
"KCNA1","RTN4"
"KCNA1","APOL2"
"KCNA1","KCNE4"
"KCNA1","JAGN1"
"KCNA1","MAL"
"KCNA1","CNTNAP2"
"KCNA1","DOLK"
"KCNA1","KCNA3"
"CREBL2","MYC"
"CREBL2","CREBRF"
"CREBL2","DDIT3"
"ALDH2","SOD2"
"ALDH2","HSPE1"
"ALDH2","IGSF21"
"ALDH2","APOA1"
"ALDH2","FAM45A"
"ALDH2","ALDH1A2"
"ALDH2","GABARAPL1"
"ALDH2","ESD"
"ALDH2","APP"
"ALDH2","ITGB3BP"
"ALDH2","FDXR"
"ALDH2","ALDH1A1"
"ALDH2","FGG"
"ALDH2","FGA"
"ALDH2","FGB"
"ALDH2","JUN"
"ALDH2","CALML5"
"ALDH2","FHIT"
"ALDH2","PPIA"
"ALDH2","SERPINA1"
"ALDH2","NTRK1"
"ALDH2","SERPINB5"
"ALDH2","FAM45BP"
"CDKN1B","CCND3"
"CDKN1B","BCL6"
"CDKN1B","KAT2B"
"CDKN1B","STMN1"
"CDKN1B","RPS6KA1"
"CDKN1B","SGK1"
"CDKN1B","CCND2"
"CDKN1B","CDK2"
"CDKN1B","CKS2"
"CDKN1B","IRF1"
"CDKN1B","PIN1"
"CDKN1B","CCNT1"
"CDKN1B","UBAC1"
"CDKN1B","UBA1"
"CDKN1B","TRIM21"
"CDKN1B","CCNA1"
"CDKN1B","CCNB1"
"CDKN1B","CAMK1"
"CDKN1B","CDK4"
"CDKN1B","MYC"
"CDKN1B","PIM1"
"CDKN1B","CUL4A"
"CDKN1B","USP3"
"CDKN1B","ARHGDIA"
"CDKN1B","CCNA2"
"CDKN1B","SKP2"
"CDKN1B","DCLRE1C"
"CDKN1B","UCHL1"
"CDKN1B","RCHY1"
"CDKN1B","CDK5"
"CDKN1B","MCM7"
"CDKN1B","CDK1"
"CDKN1B","CCNE2"
"CDKN1B","YES1"
"CDKN1B","CDK5R1"
"CDKN1B","GRB2"
"CDKN1B","SUZ12"
"CDKN1B","BCOR"
"CDKN1B","SEPT9"
"CDKN1B","KPNA5"
"CDKN1B","SRC"
"CDKN1B","SREBF2"
"CDKN1B","LYN"
"SCNN1A","SNX3"
"SCNN1A","SERP1"
"SCNN1A","WWP1"
"SCNN1A","DERL1"
"LTBR","TRAF3"
"LTBR","DEAF1"
"LTBR","LTA"
"LTBR","LTB"
"LTBR","TNF"
"OAS3","DHX30"
"OAS3","LYAR"
"OAS3","GNL3"
"OAS3","ZNF622"
"OAS3","HIST1H1C"
"OAS3","NTRK1"
"OAS3","IFRD2"
"OAS2","APP"
"MGP","BMP2"
"ARHGDIB","FBXL5"
"ARHGDIB","VAV1"
"ARHGDIB","APP"
"ARHGDIB","ANKRD1"
"ARHGDIB","RHOC"
"ARHGDIB","SHC1"
"ARHGDIB","CASP3"
"ARHGDIB","CASP7"
"ARHGDIB","RHOH"
"ARHGDIB","RAC3"
"SLC38A1","IGFBP5"
"SLC38A1","DHCR24"
"SLC38A1","ADGRL2"
"SLC38A1","SNX19"
"SLC38A1","RTN3"
"SLC38A1","TMEM60"
"SLC38A1","NTPCR"
"SLC38A1","AFG3L2"
"SLC38A1","CTDSPL"
"SLC38A1","HSD17B12"
"SLC38A1","SERP2"
"SLC38A1","TUBA1A"
"SLC38A1","SFXN4"
"SLC38A1","XPOT"
"SLC38A1","TMEM17"
"SLC38A1","TMEM216"
"SLC38A1","CHP1"
"SLC38A1","HLA-C"
"SLC38A1","HLA-B"
"SLC38A1","SMIM3"
"C12orf49","ASPHD2"
"C12orf49","SCCPDH"
"C12orf49","HTRA1"
"C12orf49","ARV1"
"C12orf49","ZWILCH"
"C12orf49","KNTC1"
"C12orf49","PLSCR1"
"C12orf49","METTL9"
"VDR","CCND3"
"VDR","ACVR1"
"VDR","STAT1"
"VDR","HDAC1"
"VDR","GNPAT"
"VDR","HMGN3"
"VDR","FOXO3"
"VDR","EGR1"
"VDR","TRIM24"
"VDR","NCOA3"
"VDR","MED1"
"VDR","SMARCA4"
"VDR","PODXL"
"VDR","NR1H2"
"VDR","NR0B2"
"VDR","CDK7"
"VDR","MDM2"
"VDR","MED4"
"VDR","MYC"
"VDR","PRCP"
"VDR","LEF1"
"VDR","GABARAPL1"
"VDR","RB1"
"VDR","NKD2"
"VDR","MED21"
"VDR","GRIP1"
"VDR","WDYHV1"
"VDR","RUNX1"
"VDR","SQSTM1"
"VDR","CDCA7L"
"VDR","SMAD3"
"VDR","CHAF1A"
"VDR","CTNNB1"
"VDR","FOS"
"VDR","CXXC5"
"VDR","SMARCC1"
"VDR","JUN"
"VDR","NRIP1"
"VDR","MED12"
"VDR","RXRA"
"VDR","SRC"
"RFC5","CCNC"
"RFC5","TRIM38"
"RFC5","RAD1"
"RFC5","TSNAX"
"RFC5","EXOSC8"
"RFC5","LRIF1"
"RFC5","EML2"
"RFC5","KRT34"
"RFC5","PCNA"
"RFC5","RFC3"
"RFC5","DSCC1"
"RFC5","MYC"
"RFC5","HDGF"
"RFC5","DDIT4L"
"RFC5","CENPJ"
"RFC5","RAD17"
"RFC5","HNRNPU"
"RFC5","EEF1A1"
"RFC5","NAB2"
"RFC5","JUN"
"RFC5","RIPK4"
"STX2","COL4A3BP"
"STX2","STXBP3"
"STX2","VAMP8"
"STX2","SERP1"
"STX2","APOL2"
"STX2","SNAP25"
"STX2","SYT4"
"STX2","STXBP1"
"STX2","CD53"
"STX2","STX3"
"STX2","ENTPD3"
"STX2","VAMP5"
"STX2","STX8"
"STX2","ANKRD46"
"STX2","TMEM120A"
"STX2","GIMAP5"
"STX2","PLN"
"STX2","UNC13B"
"STX2","PLPP4"
"STX2","AARD"
"IL26","APP"
"TIMELESS","MCM3"
"TIMELESS","RPA2"
"TIMELESS","CD70"
"TIMELESS","PCNA"
"TIMELESS","NASP"
"TIMELESS","CSGALNACT1"
"TIMELESS","CHEK1"
"TIMELESS","PRIMPOL"
"TIMELESS","MCM7"
"TIMELESS","TBC1D16"
"TIMELESS","ATR"
"TIMELESS","GINS3"
"TIMELESS","H2AFX"
"TIMELESS","NTRK1"
"KRR1","NOP2"
"KRR1","BYSL"
"KRR1","EBNA1BP2"
"KRR1","TNFAIP3"
"KRR1","DKC1"
"KRR1","LIN28A"
"KRR1","USP44"
"KRR1","HNRNPU"
"KRR1","PAXIP1"
"KRR1","MNDA"
"KRR1","IFI16"
"KRR1","GNL3"
"KRR1","RPS14"
"KRR1","BMI1"
"KRR1","ZNF622"
"KRR1","JUN"
"KRR1","SUZ12"
"KRR1","RRS1"
"KRR1","TBL3"
"KRR1","SIRT7"
"KRR1","LIN28B"
"KRR1","H2AFX"
"KRR1","RPF2"
"KRR1","MAK16"
"KRR1","RPS18"
"NOP2","BRIX1"
"NOP2","CEP70"
"NOP2","SFPQ"
"NOP2","EBNA1BP2"
"NOP2","TARDBP"
"NOP2","CDK2"
"NOP2","OBSL1"
"NOP2","DKC1"
"NOP2","TOP2A"
"NOP2","SNRPA1"
"NOP2","LIN28A"
"NOP2","NIP7"
"NOP2","SORT1"
"NOP2","SRPK2"
"NOP2","SYNCRIP"
"NOP2","DHX9"
"NOP2","MED4"
"NOP2","IFI44L"
"NOP2","HDGF"
"NOP2","PARP1"
"NOP2","MKI67"
"NOP2","HNRNPU"
"NOP2","PAXIP1"
"NOP2","NFIA"
"NOP2","MNDA"
"NOP2","IFI16"
"NOP2","GNL3"
"NOP2","CDCA7L"
"NOP2","NOLC1"
"NOP2","MCM7"
"NOP2","CCDC8"
"NOP2","RSL1D1"
"NOP2","NOC3L"
"NOP2","RPL15"
"NOP2","JUN"
"NOP2","SUZ12"
"NOP2","RRS1"
"NOP2","NPM1"
"NOP2","ALYREF"
"NOP2","THAP7"
"NOP2","H1FX"
"NOP2","SIRT7"
"NOP2","HIST1H1C"
"NOP2","NOC2L"
"NOP2","MPHOSPH8"
"NOP2","RPF2"
"NOP2","MAK16"
"NOP2","NTRK1"
"NOP2","MT1F"
"NOP2","WDR46"
"NOP2","PRKDC"
"CHD4","SUB1"
"CHD4","ITGA4"
"CHD4","HDAC1"
"CHD4","RPA2"
"CHD4","BCL11A"
"CHD4","ZMYM2"
"CHD4","TWIST1"
"CHD4","NR4A1"
"CHD4","OBSL1"
"CHD4","SNAI1"
